Host,CPU,RAM,Disk,Disk Type,Bandwidth
[Oracle Cloud](https://www.oracle.com/cloud/free/),1,1 GB,100 GB,SSD,Unlimited
[Google Cloud](https://cloud.google.com/free),1,600 MB,30 GB,SSD,Unlimited
